# рамки РУССКИХ строк свода после правки переписи (заполнители домов + падеж имени)
# мир	масса	рамка
compare_mult	41	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и ※ ※.
compare_mult	40	том собрал # ※, @ собрала # ※; том собрал не ※ ※ ※, чем @.
compare_mult	40	том собрал # ※, @ собрала # ※; том собрал ※ ※ ※, чем @.
compare_mult	40	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? ※ ※.
compare_mult	40	@ собрала # ※, марк собрал # ※; @ собрала ※ ※ ※, чем марк.
compare_mult	40	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? ※ ※.
compare_mult	40	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и ※ ※.
compare_mult	40	※ стоило ※ дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	40	※ стоила # ※, а ※ ※ дороже; сколько стоило ※? # ※.
compare_mult	33	впятеро ※ # — #.
compare_mult	33	сколько будет впятеро ※ #? впятеро ※ # — #.
compare_mult	31	ввосьмеро ※ # — # #.
compare_mult	31	сколько будет ввосьмеро ※ #? ввосьмеро ※ # — # #.
compare_mult	30	всемеро ※ # — # #.
compare_mult	30	сколько будет всемеро ※ #? всемеро ※ # — # #.
compare_mult	30	※ стоило вдесятеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	30	※ стоила # ※, а ※ вдесятеро дороже; сколько стоило ※? # ※.
compare_mult	23	※ стоил ввосьмеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	23	※ стоил # ※, а ※ ввосьмеро дороже; сколько стоил ※? # ※.
compare_mult	22	кувшин вмещает # ※ воды, стакан вмещает # ※ воды; кувшин вмещает ввосьмеро ※ воды, чем стакан.
compare_mult	22	※ стоил вдевятеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	22	※ стоил # ※, а ※ вдевятеро дороже; сколько стоил ※? # ※.
compare_mult	22	※ стоило впятеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	22	※ стоила # ※, а ※ впятеро дороже; сколько стоило ※? # ※.
compare_mult	22	※ стоило всемеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	22	※ стоила # ※, а ※ всемеро дороже; сколько стоило ※? # ※.
compare_mult	21	марк собрал # ※, катя собрала # ※; марк собрал не ※ ※ ※, чем катя.
compare_mult	21	бак вмещает # ※ воды, ведро вмещает # ※ воды; бак вмещает ※ ※ воды, чем ведро.
compare_mult	21	том собрал # ※, @ собрала # ※; том собрал вдевятеро ※ ※, чем @.
compare_mult	21	том собрал # ※, @ собрала # ※; том собрал не вдесятеро ※ ※, чем @.
compare_mult	21	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? вдевятеро ※.
compare_mult	21	@ собрала # ※, марк собрал # ※; @ собрала вдесятеро ※ ※, чем марк.
compare_mult	21	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? вдесятеро ※.
compare_mult	21	кувшин вмещает # ※ воды, стакан вмещает # ※ воды; кувшин вмещает ※ ※ воды, чем стакан.
compare_mult	21	вдевятеро ※ # — #.
compare_mult	21	сколько будет вдевятеро ※ #? вдевятеро ※ # — #.
compare_mult	21	вдевятеро ※ # — # #.
compare_mult	21	сколько будет вдевятеро ※ #? вдевятеро ※ # — # #.
compare_mult	21	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и вдевятеро ※.
compare_mult	21	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и вдесятеро ※.
compare_mult	20	марк собрал # ※, катя собрала # монету; марк собрал не ※ ※ ※, чем катя.
compare_mult	20	бак вмещает # ※ воды, ведро вмещает # ※ воды; бак вмещает впятеро ※ воды, чем ведро.
compare_mult	20	кувшин вмещает # ※ воды, стакан вмещает # ※ воды; кувшин вмещает вдевятеро ※ воды, чем стакан.
compare_mult	20	марк собрал # ※, катя собрала # ※; марк собрал не впятеро ※ ※, чем катя.
compare_mult	20	вшестеро ※ # — # #.
compare_mult	20	сколько будет вшестеро ※ #? вшестеро ※ # — # #.
compare_mult	20	※ стоил вшестеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	20	※ стоил # ※, а ※ вшестеро дороже; сколько стоил ※? # ※.
compare_mult	20	※ стоило вдевятеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	20	※ стоила # ※, а ※ вдевятеро дороже; сколько стоило ※? # ※.
compare_mult	12	※ стоило вшестеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	12	※ стоила # ※, а ※ вшестеро дороже; сколько стоило ※? # ※.
compare_mult	12	※ стоил вдесятеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	12	※ стоил # ※, а ※ вдесятеро дороже; сколько стоил ※? # ※.
compare_mult	11	бак вмещает # ※ воды, ведро вмещает # ※ воды; бак вмещает вдевятеро ※ воды, чем ведро.
compare_mult	11	@ собрала # ※, марк собрал # ※; @ собрала впятеро ※ ※, чем марк.
compare_mult	11	@ собрала # ※, марк собрал # ※; @ собрала не вшестеро ※ ※, чем марк.
compare_mult	11	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? впятеро ※.
compare_mult	11	марк собрал # ※, катя собрала # ※; марк собрал вшестеро ※ ※, чем катя.
compare_mult	11	марк собрал # ※, катя собрала # ※; марк собрал не всемеро ※ ※, чем катя.
compare_mult	11	марк собрал # ※, катя собрала # ※; во сколько ※ ※ ※ собрал марк? вшестеро ※.
compare_mult	11	@ собрала # ※, марк собрал # ※; @ собрала ввосьмеро ※ ※, чем марк.
compare_mult	11	@ собрала # ※, марк собрал # ※; @ собрала не вдевятеро ※ ※, чем марк.
compare_mult	11	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? ввосьмеро ※.
compare_mult	11	вшестеро ※ # — #.
compare_mult	11	сколько будет вшестеро ※ #? вшестеро ※ # — #.
compare_mult	11	марк собрал # ※, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и впятеро ※.
compare_mult	11	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и впятеро ※.
compare_mult	11	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и ввосьмеро ※.
compare_mult	11	※ стоил впятеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	11	※ стоил # ※, а ※ впятеро дороже; сколько стоил ※? # ※.
compare_mult	11	※ стоило ввосьмеро дороже, чем ※; ※ стоила # ※, значит ※ стоило # ※.
compare_mult	11	※ стоила # ※, а ※ ввосьмеро дороже; сколько стоило ※? # ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал вдесятеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? вдесятеро ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала вшестеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала не всемеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? вшестеро ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; марк собрал ※ ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # монету; во сколько ※ ※ ※ собрал марк? ※ ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал не впятеро ※ ※, чем @.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала вдевятеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала не вдесятеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? вдевятеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал впятеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал не вшестеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; во сколько ※ ※ ※ собрал марк? впятеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал вшестеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал не всемеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? вшестеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал всемеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал не ввосьмеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; во сколько ※ ※ ※ собрал марк? всемеро ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; марк собрал вдесятеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # монету; во сколько ※ ※ ※ собрал марк? вдесятеро ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала всемеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала не ввосьмеро ※ ※, чем марк.
compare_mult	10	@ собрала # ※, марк собрал # ※; во сколько ※ ※ ※ собрала @? всемеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал впятеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал не вшестеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? впятеро ※.
compare_mult	10	бак вмещает # ※ воды, ведро вмещает # ※ воды; бак вмещает вдесятеро ※ воды, чем ведро.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал всемеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал не ввосьмеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? всемеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал ввосьмеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал не вдевятеро ※ ※, чем катя.
compare_mult	10	марк собрал # ※, катя собрала # ※; во сколько ※ ※ ※ собрал марк? ввосьмеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал ввосьмеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал не вдевятеро ※ ※, чем @.
compare_mult	10	том собрал # ※, @ собрала # ※; во сколько ※ ※ ※ собрал том? ввосьмеро ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала не впятеро ※ ※, чем марк.
compare_mult	10	марк собрал # монету, катя собрала # ※; марк собрал вдевятеро ※ ※, чем катя.
compare_mult	10	марк собрал # монету, катя собрала # ※; марк собрал не вдесятеро ※ ※, чем катя.
compare_mult	10	марк собрал # монету, катя собрала # ※; во сколько ※ ※ ※ собрал марк? вдевятеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и вдесятеро ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и вшестеро ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; марк собрал ※# монету ※, чем катя, и ※ ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; на сколько ※ ※ собрал марк? ※# монету ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и вдевятеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и вшестеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и всемеро ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и впятеро ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; марк собрал ※# ※ ※, чем катя, и вдесятеро ※.
compare_mult	10	марк собрал # ※, катя собрала # монету; на сколько ※ ※ собрал марк? ※# ※ ※.
compare_mult	10	@ собрала # ※, марк собрал # ※; @ собрала ※# ※ ※, чем марк, и всемеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и вшестеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и всемеро ※.
compare_mult	10	марк собрал # ※, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и ввосьмеро ※.
compare_mult	10	том собрал # ※, @ собрала # ※; том собрал ※# ※ ※, чем @, и ввосьмеро ※.
compare_mult	10	марк собрал # монету, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и вдевятеро ※.
compare_mult	10	марк собрал # монету, катя собрала # ※; на сколько ※ ※ собрал марк? ※# ※ ※.
compare_mult	10	※ стоил всемеро дороже, чем ※; ※ стоил # ※, значит ※ стоил # ※.
compare_mult	10	※ стоил # ※, а ※ всемеро дороже; сколько стоил ※? # ※.
compare_mult	8	@ собрала ※ ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	8	катя собрала ※ ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	8	марк собрал ※ ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	6	том собрал ※ ※ ※, чем @. @ собрала # ※. том собрал # ※.
compare_mult	6	люся собрала ※ ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	6	нина собрала ※ ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	4	павел собрал впятеро ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	4	павел собрал ※ ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	4	глеб собрал ※ ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	3	нина собрала # ※, том собрал # ※; на сколько ※ ※ собрала нина? ※# ※ ※.
compare_mult	2	люся собрала всемеро ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	2	том собрал вдесятеро ※ ※, чем @. @ собрала # ※. том собрал # ※.
compare_mult	2	нина собрала ввосьмеро ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	2	павел собрал вшестеро ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	2	нина собрала вдевятеро ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	2	катя собрала впятеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	2	@ собрала вдесятеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	2	глеб собрал ввосьмеро ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	2	люся собрала вшестеро ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	2	@ работала ※ ※ ※, чем марк. марк работал # ※. @ работала # ※.
compare_mult	2	том собрал вдевятеро ※ ※, чем @. @ собрала # ※. том собрал # ※.
compare_mult	2	нина собрала # ※, том собрал # ※; нина собрала ※# ※ ※, чем том, и ※ ※.
compare_mult	2	павел работал ※ ※ ※, чем люся. люся работала # ※. павел работал # ※.
compare_mult	2	люся собрала впятеро ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	2	глеб собрал впятеро ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	2	катя собрала # ※, павел собрал # ※; на сколько ※ ※ собрала катя? ※# ※ ※.
compare_mult	2	том собрал впятеро ※ ※, чем @. @ собрала # ※. том собрал # ※.
compare_mult	2	нина собрала впятеро ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	2	ввосьмеро ※ # — #.
compare_mult	2	сколько будет ввосьмеро ※ #? ввосьмеро ※ # — #.
compare_mult	2	люся собрала # ※, глеб собрал # ※; на сколько ※ ※ собрала люся? ※# ※ ※.
compare_mult	2	бак вмещает # ※ воды, ведро вмещает # ※ воды; бак вмещает ввосьмеро ※ воды, чем ведро.
compare_mult	2	@ собрала впятеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	2	марк собрал впятеро ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	2	том работал ※ ※ ※, чем @. @ работала # ※. том работал # ※.
compare_mult	2	катя работала впятеро ※ ※, чем павел. павел работал # ※. катя работала # ※.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала вдесятеро ※ ※, чем павел.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала не ※ ※ ※, чем павел.
compare_mult	1	катя собрала # ※, павел собрал # ※; во сколько ※ ※ ※ собрала катя? вдесятеро ※.
compare_mult	1	марк собрал # ※, катя собрала # ※; марк собрал вдевятеро ※ ※, чем катя.
compare_mult	1	марк собрал # ※, катя собрала # ※; марк собрал не вдесятеро ※ ※, чем катя.
compare_mult	1	марк собрал # ※, катя собрала # ※; во сколько ※ ※ ※ собрал марк? вдевятеро ※.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал ※ ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал не ※ ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; во сколько ※ ※ ※ собрал павел? ※ ※.
compare_mult	1	глеб собрал всемеро ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	1	марк собрал ※ ※ ※, чем катя. катя собрала # конфету. марк собрал # ※.
compare_mult	1	марк собрал ※ ※ ※, чем катя. катя собрала # ※. марк собрал # конфету.
compare_mult	1	том работал # ※, @ работала # ※; том работал ※# ※ ※, чем @, и ※ ※.
compare_mult	1	том работал # ※, @ работала # ※; на сколько ※ ※ работал том? ※# ※ ※.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала всемеро ※ ※, чем глеб.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала не ввосьмеро ※ ※, чем глеб.
compare_mult	1	люся собрала # ※, глеб собрал # ※; во сколько ※ ※ ※ собрала люся? всемеро ※.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал вшестеро ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал не всемеро ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; во сколько ※ ※ ※ собрал павел? вшестеро ※.
compare_mult	1	катя работала # ※, павел работал # ※; катя работала впятеро ※ ※, чем павел.
compare_mult	1	катя работала # ※, павел работал # ※; катя работала не вшестеро ※ ※, чем павел.
compare_mult	1	катя работала # ※, павел работал # ※; во сколько ※ ※ ※ работала катя? впятеро ※.
compare_mult	1	глеб собрал # ※, нина собрала # ※; глеб собрал ввосьмеро ※ ※, чем нина.
compare_mult	1	глеб собрал # ※, нина собрала # ※; глеб собрал не вдевятеро ※ ※, чем нина.
compare_mult	1	глеб собрал # ※, нина собрала # ※; во сколько ※ ※ ※ собрал глеб? ввосьмеро ※.
compare_mult	1	нина работала вшестеро ※ ※, чем том. том работал # ※. нина работала # ※.
compare_mult	1	том собрал ввосьмеро ※ ※, чем @. @ собрала # ※. том собрал # ※.
compare_mult	1	катя собрала вдесятеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	1	том собрал всемеро ※ ※, чем @. @ собрала # ※. том собрал # конфету.
compare_mult	1	@ собрала вдевятеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	1	глеб собрал вшестеро ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	1	@ собрала ввосьмеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	1	марк собрал вдесятеро ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	1	нина собрала всемеро ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	1	марк собрал вдевятеро ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала ※# ※ ※, чем павел, и вдесятеро ※.
compare_mult	1	марк собрал # ※, катя собрала # ※; марк собрал ※# ※ ※, чем катя, и вдевятеро ※.
compare_mult	1	павел работал # ※, люся работала # ※; павел работал ※# ※ ※, чем люся, и ※ ※.
compare_mult	1	павел работал # ※, люся работала # ※; на сколько ※ ※ работал павел? ※# ※ ※.
compare_mult	1	том собрал # ※, @ собрала # конфету; том собрал впятеро ※ ※, чем @.
compare_mult	1	том собрал # ※, @ собрала # конфету; том собрал не вшестеро ※ ※, чем @.
compare_mult	1	том собрал # ※, @ собрала # конфету; во сколько ※ ※ ※ собрал том? впятеро ※.
compare_mult	1	глеб собрал # ※, нина собрала # ※; глеб собрал ※ ※ ※, чем нина.
compare_mult	1	глеб собрал # ※, нина собрала # ※; глеб собрал не ※ ※ ※, чем нина.
compare_mult	1	глеб собрал # ※, нина собрала # ※; во сколько ※ ※ ※ собрал глеб? ※ ※.
compare_mult	1	нина работала # ※, том работал # ※; нина работала ※ ※ ※, чем том.
compare_mult	1	нина работала # ※, том работал # ※; нина работала не впятеро ※ ※, чем том.
compare_mult	1	нина работала # ※, том работал # ※; во сколько ※ ※ ※ работала нина? ※ ※.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала ※ ※ ※, чем глеб.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала не ※ ※ ※, чем глеб.
compare_mult	1	люся собрала # ※, глеб собрал # ※; во сколько ※ ※ ※ собрала люся? ※ ※.
compare_mult	1	том собрал вшестеро ※ ※, чем @. @ собрала # карту. том собрал # ※.
compare_mult	1	люся работала вдесятеро ※ ※, чем глеб. глеб работал # ※. люся работала # ※.
compare_mult	1	катя собрала вдевятеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	1	катя собрала ввосьмеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	1	глеб собрал ※ ※ ※, чем нина. нина собрала # ※. глеб собрал # монету.
compare_mult	1	глеб собрал ※ ※ ※, чем нина. нина собрала # монету. глеб собрал # ※.
compare_mult	1	@ собрала всемеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	1	@ собрала вшестеро ※ ※, чем марк. марк собрал # ※. @ собрала # ※.
compare_mult	1	павел собрал вдесятеро ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	1	павел собрал вдевятеро ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	1	марк работал ввосьмеро ※ ※, чем катя. катя работала # ※. марк работал # ※.
compare_mult	1	марк собрал всемеро ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	1	всемеро ※ # — #.
compare_mult	1	сколько будет всемеро ※ #? всемеро ※ # — #.
compare_mult	1	глеб собрал # ※, нина собрала # карту; глеб собрал ※# ※ ※, чем нина, и ввосьмеро ※.
compare_mult	1	глеб собрал # ※, нина собрала # карту; на сколько ※ ※ собрал глеб? ※# ※ ※.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал ※# ※ ※, чем люся, и вшестеро ※.
compare_mult	1	павел собрал # ※, люся собрала # ※; на сколько ※ ※ собрал павел? ※# ※ ※.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала ※# ※ ※, чем глеб, и всемеро ※.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала ※# ※ ※, чем павел, и впятеро ※.
compare_mult	1	нина собрала # ※, том собрал # ※; нина собрала ввосьмеро ※ ※, чем том.
compare_mult	1	нина собрала # ※, том собрал # ※; нина собрала не вдевятеро ※ ※, чем том.
compare_mult	1	нина собрала # ※, том собрал # ※; во сколько ※ ※ ※ собрала нина? ввосьмеро ※.
compare_mult	1	марк собрал вшестеро ※ ※, чем катя. катя собрала # ※. марк собрал # ※.
compare_mult	1	нина собрала вдесятеро ※ ※, чем том. том собрал # ※. нина собрала # ※.
compare_mult	1	глеб собрал вдевятеро ※ ※, чем нина. нина собрала # страницу. глеб собрал # ※.
compare_mult	1	люся собрала ввосьмеро ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	1	павел собрал всемеро ※ ※, чем люся. люся собрала # ※. павел собрал # ※.
compare_mult	1	катя собрала вшестеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	1	глеб собрал вдесятеро ※ ※, чем нина. нина собрала # ※. глеб собрал # ※.
compare_mult	1	люся собрала вдевятеро ※ ※, чем глеб. глеб собрал # ※. люся собрала # ※.
compare_mult	1	павел собрал ввосьмеро ※ ※, чем люся. люся собрала # игрушку. павел собрал # ※.
compare_mult	1	катя собрала всемеро ※ ※, чем павел. павел собрал # ※. катя собрала # ※.
compare_mult	1	люся собрала # ※, глеб собрал # ※; люся собрала ※# ※ ※, чем глеб, и ※ ※.
compare_mult	1	глеб собрал # ※, нина собрала # ※; глеб собрал ※# ※ ※, чем нина, и ※ ※.
compare_mult	1	глеб собрал # ※, нина собрала # ※; на сколько ※ ※ собрал глеб? ※# ※ ※.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал ввосьмеро ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; павел собрал не вдевятеро ※ ※, чем люся.
compare_mult	1	павел собрал # ※, люся собрала # ※; во сколько ※ ※ ※ собрал павел? ввосьмеро ※.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала всемеро ※ ※, чем павел.
compare_mult	1	катя собрала # ※, павел собрал # ※; катя собрала не ввосьмеро ※ ※, чем павел.
compare_mult	1	кувшин вмещает # ※ воды, стакан вмещает # ※ воды; кувшин вмещает всемеро ※ воды, чем стакан.
compare_mult	1	катя собрала # ※, павел собрал # ※; во сколько ※ ※ ※ собрала катя? всемеро ※.
compare_mult	1	глеб работал всемеро ※ ※, чем нина. нина работала # ※. глеб работал # ※.
compare_mult	1	нина собрала # ※, том собрал # ※; нина собрала ※# ※ ※, чем том, и ввосьмеро ※.
compsci	60	регулятор держит ※ между # и #: при возмущении # он вернул #.
compsci	60	гомеостаз есть удержание величины в пределах от # до #: ※ # допустимо.
compsci	50	цикл: x = #; повторить # ※ x = x + #. инвариант: x чётно на каждом шаге. выход x = #.
compsci	40	# равновозможных ※ несут # ※.
compsci	40	сколько ※ несут # равновозможных ※? # равновозможных ※ несут # ※.
compsci	40	слово из # ※ алфавита в # ※ стоит # ※.
compsci	40	сколько ※ стоит слово из # ※ алфавита в # ※? слово из # ※ алфавита в # ※ стоит # ※.
compsci	40	# равновозможных ※ — энтропия # ※.
compsci	40	чему равна энтропия # равновозможных ※? # равновозможных ※ — энтропия # ※.
compsci	38	тип ※ # — целое; тип ※ # ÷ # — целое.
compsci	25	стоит ли ※ алфавита в # ※ целое ※ ※? нет: # ※ — это не степень двойки.
compsci	25	сколько ※ стоит ※ алфавита в # ※? ※ алфавита в # ※ стоит # ※: #^# = #.
compsci	25	стоит ли ※ алфавита в # ※ целое ※ ※? да: # = #^#, ※ стоит # ※.
compsci	25	модель системы имеет # ※; наблюдатель различает #: управление возможно.
compsci	25	модель системы имеет # ※; наблюдатель различает #: управление невозможно.
compsci	22	тип ※ # — целое; тип ※ # ÷ # — дробь.
compsci	20	почему энтропия # равновозможных ※ равна # ※? потому что #^# = #: # равновозможных ※ — энтропия # ※. энтропия равновозможных ※ — это ※ ※, нужное, чтобы назвать # из них: log2 их ※.
compsci	20	чему равна энтропия # равновозможных ※? # равновозможных ※ — энтропия # ※: #^# = #. энтропия равновозможных ※ — это ※ ※, нужное, чтобы назвать # из них: log2 их ※.
compsci	19	делится ли # ※# — вопрос разрешимый; ответ нет.
compsci	11	делится ли # ※# — вопрос разрешимый; ответ да.
compsci	10	автомат чётности: вход # # #; ※ после — нечётное.
compsci	5	※ — это информация, различающая # равновозможных ※.
compsci	5	что такое энтропия равновозможных ※? энтропия равновозможных ※ — это ※ ※, нужное, чтобы назвать # из них: log2 их ※.
